age,articleNumber,bias-question,country,gender,language1,newsOutlet,politics,url
26,48.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/08/us/alabama-transgender-bills/index.html
26,110.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/07/us/kentucky-governor-vetoes-bill-anti-critical-race-theory/index.html
44,238.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/magazine-33103973
56,474.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
30,224.0,is-biased,India,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
30,435.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/us/iowa-survivalist-arrested/index.html
46,69.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/iowa-primary-abby-finkenauer-democrat-ballot/index.html
25,398.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60999431
48,387.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/10/us/us-marshals-service-new-orleans-operation/index.html
41,37.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/21/politics/ketanji-brown-jackson-confirmation-hearing-day-1/index.html
23,359.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/florida-mid-atlantic-forecast-strong-storms-heavy-rain
44,9.0,is-not-biased,Colombia,Female,Spanish,CNN,Independent,https://www.cnn.com/2022/03/08/us/joplin-missouri-police-officers-shot/index.html
28,193.0,is-biased,India,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/magazine-33103973
25,189.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/uk-scotland-61031326
57,107.0,is-not-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61026996
29,175.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/4-people-shot-near-south-by-southwest-festival-in-texas
29,306.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
25,392.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60498965
40,233.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
32,39.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/midwestern-storm-rainy-weather-snow-great-lakes-northeast
25,64.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61018821
55,199.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/08/us/alabama-transgender-bills/index.html
32,155.0,is-biased,Other,Female,English,FOX,Independent,https://www.foxnews.com/us/police-warning-about-dangerous-new-tiktok-challenge-sweeping-us
42,299.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/teen-suspect-arraigned-victim-identified-following-shooting-near-nyc-high-school
41,6.0,is-not-biased,Australia,Female,English,FOX,Liberal,https://www.foxnews.com/us/man-beaten-by-biker-club-after-accidentally-running-into-member-at-mi-bar-police
50,5.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
34,405.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60810468
66,314.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61063905
32,492.0,is-biased,India,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/07/tech/spacex-iss-tourism-mission-scn/index.html
38,218.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
39,27.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/tesla-driver-careens-texas-sidewalk-video
36,181.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/21/politics/putin-war-criminal-ukraine-russia-what-matters/index.html
25,244.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/texas-gov-greg-abbott-migrants-capitol-dc
29,0.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
38,82.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/21/politics/covid-funding-biden-administration/index.html
54,87.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/new-york-city-pedestrian-killed-nypd-van
32,309.0,is-biased,Indonesia,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/21/politics/ketanji-brown-jackson-confirmation-hearing-day-1/index.html
35,250.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
30,451.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/americans-russia-custody-conflict
27,328.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/21/politics/trump-appeal-ny-attorney-general-investigation-depositions/index.html
32,399.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/universal-studios-hollywood-guests-rescued-from-ride-after-power-goes-out
30,162.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/cars/tesla-fsd-family-friends/index.html
26,30.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047565
28,294.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/severe-weather-coming-to-texas-southeast
33,42.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60635930
44,390.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
54,388.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-europe-60804949
37,238.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60999246
27,89.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/11/investing/russia-default-sp/index.html
27,255.0,is-biased,United States,Female,Nyangumarta,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61047164
53,474.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61029445
29,356.0,is-not-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/science-environment-61044759
66,85.0,is-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61018819
28,428.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61016908
32,337.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047164
30,10.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047164
39,37.0,is-not-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/technology-60995694
29,368.0,is-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
33,202.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60624642
29,240.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
47,191.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/politics/james-trump-contempt/index.html
37,272.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/20/entertainment/kanye-west-banned-grammys-trevor-noah/index.html
24,407.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
54,486.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/man-charged-burying-mother-sister-backyard
61,238.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/nyc-mayor-eric-adams-positive-covid
25,274.0,is-biased,United Kingdom,Female,Abanyom,FOX,Liberal,https://www.foxnews.com/us/new-york-city-driver-runs-over-man-doing-donuts-street-flees-video
37,441.0,is-biased,United States,Other,English,CNN,Independent,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
22,320.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/uk-60816960
32,138.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/florida-mid-atlantic-forecast-strong-storms-heavy-rain
48,220.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61004345
30,87.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/gun-regulation-atf-steve-dettelbach/index.html
22,468.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/florida-man-arrested-baby-alligator-guns-drugs-truck
32,257.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61033126
48,191.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/dc-fake-feds-tipped-off-shipped-evidence
41,210.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/florida-model-courtney-clenney-hotel-miami
45,74.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60810468
29,282.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
44,381.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/mexico-cartel-ak-texas-border
53,281.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61023229
37,484.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/americans-russia-custody-conflict
25,354.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html
44,262.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/la-county-sheriff-helicopter-crash
44,236.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
30,412.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61047565
59,98.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/europe/french-presidential-election-results-intl/index.html
30,139.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
47,221.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/av/10462520
32,51.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60666251
25,307.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/capitol-fox-kits-euthanized-rabies-dc
32,8.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60787377
36,281.0,is-not-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/us/rare-snake-alabama-trnd/index.html
51,40.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/entertainment-arts-60562041
34,263.0,is-biased,Belarus,Male,Afrikaans,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
45,17.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/politics/biden-ghost-guns-atf-nominee/index.html
25,180.0,is-not-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61005429
25,76.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
52,289.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/21/politics/covid-funding-biden-administration/index.html
40,136.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/08/us/sherri-papini-detention-hearing/index.html
30,319.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60787377
51,437.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60666414
50,376.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/brooklyn-bridge-climber-rush-hour-drama-video
25,120.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/us/us-marshals-service-new-orleans-operation/index.html
34,234.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61018765
28,214.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/new-orleans-police-5-shootings-10-hours
27,326.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/10/entertainment/pamela-anderson-broadway-chicago-interview/index.html
34,263.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/business-61027374
49,14.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/universal-studios-hollywood-guests-rescued-from-ride-after-power-goes-out
35,78.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/liz-cheney-january-6-committee-cnntv/index.html
52,191.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/07/weather/severe-weather-south-thursday/index.html
23,141.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/ghislaine-maxwell-juror-calls-false-answer-questionnaire-biggest-mistake
22,387.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/feds-rearrest-louisville-suspect-blm-fund-attempt-mayoral-candidates-life
45,120.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
52,92.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/entertainment/kyiv-calling-ukrainian-band-covers-the-clash-trnd/index.html
53,319.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60787377
48,445.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/nyc-high-school-shooting-charged-with-murder
28,420.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/politics/north-korea-nuclear-satellite-images/index.html
27,397.0,is-not-biased,Kenya,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/business-60979656
30,95.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/man-beaten-stabbed-on-chicago-transit-in-third-violent-attack-in-as-many-days
60,287.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/texas-da-murder-charge-abortion-case-will-be-dropped
48,466.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/at-least-ten-people-shot-at-arkansas-car-show-reports
43,301.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/brooklyn-bridge-climber-rush-hour-drama-video
43,350.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/project-cure-nonprofit-medical-supplies-ukraine-logistics-russia-war
28,162.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
68,129.0,is-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/03/21/americas/mississauga-canada-mosque-attack-charges/index.html
32,118.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/20/politics/biden-administration-myanmar-military-genocide/index.html
42,431.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60999246
49,263.0,is-not-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/california-gang-members-charged-kevin-nishita-murder-shooting-smash-and-grab
42,408.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/california-homeowner-beats-up-suspected-burglar-during-robbery
42,353.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/biden-ghost-guns-atf-nominee/index.html
28,426.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/new-york-city-driver-runs-over-man-doing-donuts-street-flees-video
27,497.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/michelle-obama-ketanji-brown-jackson-supreme-court-confirmation/index.html
61,58.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/07/politics/michelle-obama-ketanji-brown-jackson-supreme-court-confirmation/index.html
30,213.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/politics/liz-cheney-january-6-committee-cnntv/index.html
59,101.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/11/asia/pakistan-prime-minister-shehbaz-sharif-intl-hnk/index.html
40,488.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/biden-patriot-antimissile-systems-saudis
53,54.0,is-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/media/reliable-sources-kyiv-independent/index.html
25,3.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60758401
20,195.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/man-beaten-by-biker-club-after-accidentally-running-into-member-at-mi-bar-police
43,127.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/blankets-of-hope-nonprofit-homeless-shelters-ukraine
64,34.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/ghislaine-maxwell-juror-calls-false-answer-questionnaire-biggest-mistake
27,407.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/nyc-career-criminal-slashes-man-after-freed-prior-attack
28,490.0,is-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/mexico-cartel-ak-texas-border
30,174.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/science-environment-60788761
52,142.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/nyc-shooting-outside-bronx-school-kills-teen-injures-two-others
42,486.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/nancy-crampton-brophy-murder-trial-oregon
34,245.0,is-not-biased,United States,Female,English,CNN,Independent,https://www.cnn.com/2022/03/20/us/rare-snake-alabama-trnd/index.html
32,449.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/florida-man-sister-in-law-attempted-robbers-fight-back-wwe
28,180.0,is-not-biased,United States,Female,English,FOX,Independent,https://www.foxnews.com/us/genealogy-database-dna-solves-2-decade-old-violent-rape-cases-in-washington-state
42,186.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town
45,149.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town
55,218.0,is-biased,India,Male,English,FOX,Independent,https://www.foxnews.com/us/4-people-shot-near-south-by-southwest-festival-in-texas
32,253.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/tesla-driver-careens-texas-sidewalk-video
36,325.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/60920818
20,423.0,is-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/alabama-governor-signs-law-banning-trans-youth-medication
31,384.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61005390
64,351.0,is-not-biased,United States,Female,English,CNN,Other,https://www.cnn.com/2022/03/20/politics/scotus-history-nominations-fights/index.html
42,136.0,is-biased,Gabon,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-europe-60804949
47,238.0,is-not-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60999246
44,433.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/maryland-police-release-footage-of-sick-attack-on-senior-citizen
24,77.0,is-not-biased,United States,Female,English,BBC,Independent,https://www.bbc.co.uk/news/entertainment-arts-61033263
48,86.0,is-not-biased,United States,Male,English,CNN,Independent,https://www.cnn.com/2022/04/11/us/ghost-guns-what-to-know/index.html
63,191.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/us/des-moines-iowa-school-shooting-tuesday/index.html
24,200.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/2-alabama-men-charged-takeover-florida-beach-town
31,453.0,is-not-biased,United States,Female,English,FOX,Liberal,https://www.foxnews.com/us/georgia-to-pennsylvania-300-guns-trafficked-atlanta-rapper-straw-purchasing-scheme
22,341.0,is-not-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/health/florida-child-covid-vaccine-guidance/index.html
35,317.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/entertainment-arts-59731053
28,189.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/03/20/entertainment/kanye-west-banned-grammys-trevor-noah/index.html
48,72.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/10/media/abigail-disney-reliable-sources/index.html
49,243.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/uk-scotland-61031326
25,324.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/west-texas-wildfires-evacuations
42,482.0,is-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/science-environment-61044759
60,250.0,is-not-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
38,153.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/new-orleans-police-5-shootings-10-hours
30,111.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/nyc-nypd-police-weekend-shooting-victims-shot
33,174.0,is-not-biased,United States,Female,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60797948
47,186.0,is-not-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/california-chevron-refinery-strike
44,474.0,is-biased,United States,Female,English,FOX,Conservative,https://www.foxnews.com/us/severe-weather-coming-to-texas-southeast
45,208.0,is-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-60999431
33,242.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/03/21/us/texas-wildfires-monday/index.html
25,39.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/magazine-33103973
40,3.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/03/08/health/florida-child-covid-vaccine-guidance/index.html
60,57.0,is-not-biased,United States,Female,English,BBC,Other,https://www.bbc.co.uk/news/world-us-canada-60745569
29,330.0,is-biased,United States,Male,English,FOX,Liberal,https://www.foxnews.com/us/seattle-woman-hate-crimes-asian-neighbor-sell-home-settlement
25,462.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61015190
26,40.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/07/politics/james-trump-contempt/index.html
45,331.0,is-not-biased,United States,Male,English,BBC,Independent,https://www.bbc.co.uk/news/magazine-33103973
30,128.0,is-biased,United States,Female,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-61047565
34,278.0,is-biased,United States,Male,English,FOX,Independent,https://www.foxnews.com/us/no-charges-in-shooting-of-man-saved-from-south-carolina-lake
61,278.0,is-biased,United States,Male,English,CNN,Conservative,https://www.cnn.com/2022/04/11/politics/iowa-primary-abby-finkenauer-democrat-ballot/index.html
41,370.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-61026996
34,202.0,is-biased,United States,Male,English,BBC,Liberal,https://www.bbc.co.uk/news/business-61027374
56,284.0,is-biased,United States,Male,Spanish,BBC,Liberal,https://www.bbc.co.uk/news/world-us-canada-60787377
44,464.0,is-biased,United States,Female,English,CNN,Liberal,https://www.cnn.com/2022/04/08/golf/tiger-woods-second-round-the-masters-spt-intl/index.html
25,223.0,is-biased,United Kingdom,Female,English,BBC,Independent,https://www.bbc.co.uk/news/uk-60816960
52,165.0,is-biased,United States,Male,English,FOX,Conservative,https://www.foxnews.com/us/venezuelan-touring-rock-band-robbed-by-ca-thieves
35,347.0,is-not-biased,United States,Male,English,CNN,Liberal,https://www.cnn.com/2022/04/11/politics/iowa-primary-abby-finkenauer-democrat-ballot/index.html
47,95.0,is-biased,Bahamas,Male,English,BBC,Independent,https://www.bbc.co.uk/news/world-us-canada-61047164
32,124.0,is-biased,United States,Male,English,BBC,Conservative,https://www.bbc.co.uk/news/world-us-canada-60810468
47,155.0,is-biased,United States,Female,English,CNN,Conservative,https://www.cnn.com/2022/04/08/us/south-bronx-high-school-shooting/index.html
38,199.0,is-biased,Kenya,Female,Gujarati,BBC,Liberal,https://www.bbc.co.uk/news/magazine-33103973
